WFS_TITLE,IMAGE,IMAGEURL,overlaps_west_ham,overlaps_lower_lea
"London III.100, Revised: 1893, Published: 1895",101201061,https://maps.nls.uk/view/101201061,False,True
"London III.89, Revised: 1893, Published: 1895",101201028,https://maps.nls.uk/view/101201028,False,True
"London III.90, Revised: 1893, Published: 1894 to 1896",101201031,https://maps.nls.uk/view/101201031,False,True
"London IV.91, Revised: 1893, Published: 1895",101201124,https://maps.nls.uk/view/101201124,True,True
"London IV.92, Revised: 1893, Published: 1895",101201127,https://maps.nls.uk/view/101201127,True,False
"London IV.93, Revised: 1893, Published: 1895",101201130,https://maps.nls.uk/view/101201130,True,False
"London IV.94, Revised: 1893, Published: 1895",101201133,https://maps.nls.uk/view/101201133,True,False
"London IV.95, Revised: 1893, Published: 1895",101201136,https://maps.nls.uk/view/101201136,True,False
"London VII.30, Revised: 1893, Published: 1895",101201487,https://maps.nls.uk/view/101201487,False,True
"London VIII.1, Revised: 1893, Published: 1895",101201697,https://maps.nls.uk/view/101201697,True,True
"London VIII.11, Revised: 1893, Published: 1895",101201715,https://maps.nls.uk/view/101201715,True,True
"London VIII.12, Revised: 1893, Published: 1895",101201718,https://maps.nls.uk/view/101201718,True,True
"London VIII.13, Revised: 1893, Published: 1895",101201721,https://maps.nls.uk/view/101201721,True,False
"London VIII.14, Revised: 1893, Published: 1895",101201724,https://maps.nls.uk/view/101201724,True,False
"London VIII.2, Revised: 1893, Published: 1895",101201700,https://maps.nls.uk/view/101201700,True,False
"London VIII.21, Revised: 1893, Published: 1895",101201730,https://maps.nls.uk/view/101201730,True,True
"London VIII.22, Revised: 1893, Published: 1895",101201733,https://maps.nls.uk/view/101201733,True,True
"London VIII.23, Revised: 1893, Published: 1895",101201736,https://maps.nls.uk/view/101201736,True,False
"London VIII.24, Revised: 1893, Published: 1895",101201739,https://maps.nls.uk/view/101201739,True,False
"London VIII.25, Revised: 1893, Published: 1895",101201742,https://maps.nls.uk/view/101201742,True,False
"London VIII.3, Revised: 1893, Published: 1895",101201703,https://maps.nls.uk/view/101201703,True,False
"London VIII.31, Revised: 1893, Published: 1894",101201745,https://maps.nls.uk/view/101201745,True,True
"London VIII.32, Revised: 1893, Published: 1895",101201748,https://maps.nls.uk/view/101201748,True,True
"London VIII.33, Revised: 1893, Published: 1895",101201751,https://maps.nls.uk/view/101201751,True,False
"London VIII.34, Revised: 1893, Published: 1895",101201754,https://maps.nls.uk/view/101201754,True,False
"London VIII.35, Revised: 1893, Published: 1895",101201757,https://maps.nls.uk/view/101201757,True,False
"London VIII.4, Revised: 1893, Published: 1895",101201706,https://maps.nls.uk/view/101201706,True,False
"London VIII.41, Revised: 1893, Published: 1895",101201760,https://maps.nls.uk/view/101201760,True,True
"London VIII.42, Revised: 1893, Published: 1895",101201763,https://maps.nls.uk/view/101201763,True,True
"London VIII.43, Revised: 1893, Published: 1895",101201766,https://maps.nls.uk/view/101201766,True,False
"London VIII.44, Revised: 1893, Published: 1895",101201769,https://maps.nls.uk/view/101201769,True,False
"London VIII.5, Revised: 1893, Published: 1895",101201709,https://maps.nls.uk/view/101201709,True,False
"London VIII.51, Revised: 1893 - 1895, Published: 1895",101201772,https://maps.nls.uk/view/101201772,True,True
"London VIII.52, Revised: 1893, Published: 1895",101201775,https://maps.nls.uk/view/101201775,True,True
"London VIII.53, Revised: 1893, Published: 1894",101201778,https://maps.nls.uk/view/101201778,True,False
"London VIII.54, Revised: ca. 1893 - 1894, Published: 1895",101201781,https://maps.nls.uk/view/101201781,True,False
"London VIII.62, Revised: 1893, Published: 1895",101201787,https://maps.nls.uk/view/101201787,True,True
"London VIII.63, Revised: 1893, Published: 1895",101201790,https://maps.nls.uk/view/101201790,True,True
"London VIII.64, Revised: 1893, Published: 1895",101201793,https://maps.nls.uk/view/101201793,True,False
"London VIII.65, Revised: 1893, Published: 1895",101201796,https://maps.nls.uk/view/101201796,True,False
"London VIII.72, Revised: 1893, Published: 1895",101201802,https://maps.nls.uk/view/101201802,True,True
"London VIII.73, Revised: 1893, Published: 1895",101201805,https://maps.nls.uk/view/101201805,True,True
"London VIII.74, Revised: 1893, Published: 1895",101201808,https://maps.nls.uk/view/101201808,True,False
"London VIII.75, Revised: 1893, Published: 1895",101201811,https://maps.nls.uk/view/101201811,True,False
"London VIII.76, Revised: 1893, Published: 1895",101201814,https://maps.nls.uk/view/101201814,True,False
"London VIII.83, Revised: 1893, Published: 1895",101201829,https://maps.nls.uk/view/101201829,True,False
"London VIII.84, Revised: 1893 - 1895, Published: 1895",101201832,https://maps.nls.uk/view/101201832,True,False
"London VIII.85, Revised: 1893, Published: 1895",101201835,https://maps.nls.uk/view/101201835,True,False
"London VIII.86, Revised: 1893, Published: 1895",101201838,https://maps.nls.uk/view/101201838,True,False
"London VIII.93, Revised: 1893, Published: 1895",101201853,https://maps.nls.uk/view/101201853,True,False
"London VIII.94, Revised: 1894, Published: 1895",101201856,https://maps.nls.uk/view/101201856,True,False
"London VIII.95, Revised: 1893, Published: 1896",101201859,https://maps.nls.uk/view/101201859,True,False
"London VIII.96, Revised: 1893, Published: 1896",101201862,https://maps.nls.uk/view/101201862,True,False
